contact_id,customer_id,contact_date,channel,proposed_product,result,employee_id,note
H000032,C00015,2025-02-22,電話,相続コンサル,成約,E016,相続コンサルを提案。前向きな反応。
H000033,C00015,2025-04-15,オンライン面談,ファンドラップ,再訪問予定,E016,ファンドラップを提案。前向きな反応。
H000034,C00017,2025-08-17,来店,投資信託,再訪問予定,E024,投資信託を提案。前向きな反応。
H000035,C00017,2025-07-14,オンライン面談,ファンドラップ,情報提供のみ,E024,ファンドラップを提案。前向きな反応。
H000036,C00018,2025-09-22,訪問,一時払い保険,成約,E040,一時払い保険を提案。前向きな反応。
H000037,C00019,2024-12-21,電話,NISA,再訪問予定,E036,NISAを提案。前向きな反応。
H000038,C00019,2024-04-08,電話,外貨預金,見送り,E036,外貨預金を提案。反応は限定的。
H000039,C00019,2024-08-26,訪問,一時払い保険,情報提供のみ,E036,一時払い保険を提案。前向きな反応。
H000040,C00021,2025-09-27,来店,国内債券,再訪問予定,E037,国内債券を提案。前向きな反応。
H000041,C00021,2025-03-09,メール,相続コンサル,見送り,E037,相続コンサルを提案。反応は限定的。
H000042,C00021,2025-01-07,来店,ファンドラップ,検討中,E037,ファンドラップを提案。前向きな反応。
H000043,C00021,2025-07-01,訪問,外貨預金,検討中,E037,外貨預金を提案。前向きな反応。
H000044,C00021,2024-10-19,訪問,外貨預金,検討中,E037,外貨預金を提案。前向きな反応。
H000045,C00023,2025-11-17,訪問,国内債券,検討中,E059,国内債券を提案。前向きな反応。
H000046,C00024,2026-04-28,メール,国内債券,成約,E012,国内債券を提案。前向きな反応。
H000047,C00024,2025-05-12,訪問,一時払い保険,見送り,E012,一時払い保険を提案。反応は限定的。
H000048,C00024,2026-02-24,電話,相続コンサル,情報提供のみ,E012,相続コンサルを提案。前向きな反応。
H000049,C00024,2025-08-09,訪問,ファンドラップ,再訪問予定,E012,ファンドラップを提案。前向きな反応。
H000050,C00025,2025-04-09,メール,外国債券,情報提供のみ,E024,外国債券を提案。前向きな反応。
H000051,C00025,2024-03-14,オンライン面談,投資信託,見送り,E024,投資信託を提案。反応は限定的。
H000052,C00025,2024-10-30,メール,外国債券,情報提供のみ,E024,外国債券を提案。前向きな反応。
H000053,C00027,2025-09-03,電話,外貨預金,検討中,E014,外貨預金を提案。前向きな反応。
H000054,C00027,2025-08-16,来店,ファンドラップ,再訪問予定,E014,ファンドラップを提案。前向きな反応。
H000055,C00027,2025-06-06,訪問,外国債券,情報提供のみ,E014,外国債券を提案。前向きな反応。
H000056,C00028,2025-09-19,電話,相続コンサル,成約,E058,相続コンサルを提案。前向きな反応。
H000057,C00028,2025-05-22,電話,国内債券,成約,E058,国内債券を提案。前向きな反応。
H000058,C00028,2025-07-24,オンライン面談,相続コンサル,成約,E058,相続コンサルを提案。前向きな反応。
H000059,C00028,2025-07-01,オンライン面談,一時払い保険,情報提供のみ,E058,一時払い保険を提案。前向きな反応。
H000060,C00029,2025-11-27,来店,一時払い保険,成約,E034,一時払い保険を提案。前向きな反応。
H000061,C00029,2025-09-26,来店,国内債券,成約,E034,国内債券を提案。前向きな反応。
H000062,C00029,2025-08-02,電話,投資信託,成約,E034,投資信託を提案。前向きな反応。
H000063,C00029,2024-12-08,オンライン面談,ファンドラップ,検討中,E034,ファンドラップを提案。前向きな反応。
H000064,C00030,2026-06-20,来店,投資信託,見送り,E021,投資信託を提案。反応は限定的。
H000065,C00030,2025-08-01,オンライン面談,相続コンサル,再訪問予定,E021,相続コンサルを提案。前向きな反応。
H000066,C00030,2026-04-19,来店,国内債券,再訪問予定,E021,国内債券を提案。前向きな反応。
H000067,C00031,2026-02-08,メール,国内債券,検討中,E046,国内債券を提案。前向きな反応。
H000068,C00032,2026-04-19,オンライン面談,外貨預金,情報提供のみ,E078,外貨預金を提案。前向きな反応。
H000069,C00032,2025-05-22,電話,国内債券,見送り,E078,国内債券を提案。反応は限定的。
H000070,C00032,2025-03-29,来店,相続コンサル,検討中,E078,相続コンサルを提案。前向きな反応。
H000071,C00032,2025-03-15,オンライン面談,外国債券,成約,E078,外国債券を提案。前向きな反応。
H000072,C00032,2025-11-12,メール,NISA,再訪問予定,E078,NISAを提案。前向きな反応。
H000073,C00035,2025-07-18,来店,相続コンサル,情報提供のみ,E034,相続コンサルを提案。前向きな反応。
H000074,C00035,2024-12-24,電話,投資信託,検討中,E034,投資信託を提案。前向きな反応。
H000075,C00035,2025-02-26,訪問,ファンドラップ,検討中,E034,ファンドラップを提案。前向きな反応。
H000076,C00035,2025-06-10,訪問,投資信託,情報提供のみ,E034,投資信託を提案。前向きな反応。
H000077,C00035,2025-06-25,メール,ファンドラップ,情報提供のみ,E034,ファンドラップを提案。前向きな反応。
H000078,C00036,2026-01-30,メール,外貨預金,成約,E051,外貨預金を提案。前向きな反応。
H000079,C00036,2026-01-24,メール,NISA,検討中,E051,NISAを提案。前向きな反応。
H000080,C00036,2025-12-17,来店,一時払い保険,情報提供のみ,E051,一時払い保険を提案。前向きな反応。
H000081,C00036,2026-01-30,メール,NISA,成約,E051,NISAを提案。前向きな反応。
H000082,C00036,2025-03-22,オンライン面談,外貨預金,再訪問予定,E051,外貨預金を提案。前向きな反応。
H000083,C00037,2026-07-27,オンライン面談,投資信託,検討中,E006,投資信託を提案。前向きな反応。
H000084,C00037,2025-10-13,電話,ファンドラップ,検討中,E006,ファンドラップを提案。前向きな反応。
H000085,C00037,2026-04-15,訪問,外国債券,検討中,E006,外国債券を提案。前向きな反応。
H000086,C00038,2025-10-31,オンライン面談,ファンドラップ,成約,E035,ファンドラップを提案。前向きな反応。
H000087,C00038,2024-12-25,メール,投資信託,見送り,E035,投資信託を提案。反応は限定的。
H000088,C00038,2025-01-28,メール,国内債券,検討中,E035,国内債券を提案。前向きな反応。
H000089,C00038,2024-11-16,メール,国内債券,検討中,E035,国内債券を提案。前向きな反応。
H000090,C00038,2025-04-25,オンライン面談,ファンドラップ,成約,E035,ファンドラップを提案。前向きな反応。
H000091,C00039,2024-11-24,来店,相続コンサル,情報提供のみ,E011,相続コンサルを提案。前向きな反応。
H000092,C00039,2024-11-13,オンライン面談,一時払い保険,検討中,E011,一時払い保険を提案。前向きな反応。
H000093,C00041,2025-08-23,訪問,相続コンサル,情報提供のみ,E057,相続コンサルを提案。前向きな反応。
H000094,C00041,2024-10-04,オンライン面談,外国債券,検討中,E057,外国債券を提案。前向きな反応。
H000095,C00041,2025-03-22,来店,投資信託,再訪問予定,E057,投資信託を提案。前向きな反応。
H000096,C00042,2026-02-10,電話,国内債券,再訪問予定,E061,国内債券を提案。前向きな反応。
H000097,C00042,2025-08-10,訪問,NISA,情報提供のみ,E061,NISAを提案。前向きな反応。
H000098,C00042,2025-12-12,メール,相続コンサル,検討中,E061,相続コンサルを提案。前向きな反応。
H000099,C00042,2025-02-14,来店,外国債券,検討中,E061,外国債券を提案。前向きな反応。
H000100,C00043,2025-10-13,電話,国内債券,成約,E064,国内債券を提案。前向きな反応。
H000101,C00043,2024-11-03,オンライン面談,外国債券,検討中,E064,外国債券を提案。前向きな反応。
H000102,C00043,2024-12-06,オンライン面談,ファンドラップ,情報提供のみ,E064,ファンドラップを提案。前向きな反応。
H000103,C00044,2026-04-03,電話,外国債券,成約,E056,外国債券を提案。前向きな反応。
H000104,C00044,2025-08-02,訪問,国内債券,検討中,E056,国内債券を提案。前向きな反応。
H000105,C00044,2025-04-06,訪問,NISA,検討中,E056,NISAを提案。前向きな反応。
H000106,C00045,2026-06-25,オンライン面談,NISA,再訪問予定,E036,NISAを提案。前向きな反応。
H000107,C00046,2025-05-27,来店,NISA,見送り,E038,NISAを提案。反応は限定的。
H000108,C00046,2024-09-11,電話,投資信託,情報提供のみ,E038,投資信託を提案。前向きな反応。
H000109,C00047,2026-06-14,訪問,相続コンサル,再訪問予定,E069,相続コンサルを提案。前向きな反応。
H000110,C00048,2025-10-27,来店,投資信託,成約,E001,投資信託を提案。前向きな反応。
H000111,C00048,2025-04-06,電話,NISA,検討中,E001,NISAを提案。前向きな反応。
H000112,C00048,2025-09-30,メール,外国債券,成約,E001,外国債券を提案。前向きな反応。
H000113,C00048,2025-08-19,訪問,相続コンサル,情報提供のみ,E001,相続コンサルを提案。前向きな反応。
H000114,C00048,2025-02-12,電話,NISA,情報提供のみ,E001,NISAを提案。前向きな反応。
H000115,C00049,2026-01-28,来店,国内債券,見送り,E012,国内債券を提案。反応は限定的。
H000116,C00049,2025-03-01,オンライン面談,外国債券,検討中,E012,外国債券を提案。前向きな反応。
H000117,C00050,2025-08-15,メール,一時払い保険,成約,E008,一時払い保険を提案。前向きな反応。
H000118,C00050,2025-01-13,来店,ファンドラップ,情報提供のみ,E008,ファンドラップを提案。前向きな反応。
H000119,C00051,2025-07-18,訪問,投資信託,検討中,E073,投資信託を提案。前向きな反応。
H000120,C00051,2025-06-18,訪問,投資信託,成約,E073,投資信託を提案。前向きな反応。
H000121,C00051,2024-09-27,訪問,投資信託,見送り,E073,投資信託を提案。反応は限定的。
H000122,C00051,2024-11-23,来店,国内債券,検討中,E073,国内債券を提案。前向きな反応。
H000123,C00052,2025-12-20,来店,NISA,検討中,E003,NISAを提案。前向きな反応。
H000124,C00052,2025-05-09,来店,外国債券,検討中,E003,外国債券を提案。前向きな反応。
H000125,C00055,2026-03-10,来店,投資信託,情報提供のみ,E062,投資信託を提案。前向きな反応。
H000126,C00055,2025-10-30,来店,外貨預金,見送り,E062,外貨預金を提案。反応は限定的。
H000127,C00055,2025-09-24,訪問,一時払い保険,再訪問予定,E062,一時払い保険を提案。前向きな反応。
H000128,C00055,2025-12-28,オンライン面談,相続コンサル,検討中,E062,相続コンサルを提案。前向きな反応。
H000129,C00056,2025-10-28,電話,ファンドラップ,検討中,E073,ファンドラップを提案。前向きな反応。
H000130,C00056,2024-12-28,訪問,外貨預金,情報提供のみ,E073,外貨預金を提案。前向きな反応。
H000131,C00056,2024-10-01,来店,ファンドラップ,情報提供のみ,E073,ファンドラップを提案。前向きな反応。
H000132,C00056,2025-09-13,オンライン面談,外国債券,情報提供のみ,E073,外国債券を提案。前向きな反応。
H000133,C00057,2026-03-11,オンライン面談,国内債券,成約,E029,国内債券を提案。前向きな反応。
H000134,C00058,2024-12-30,来店,投資信託,見送り,E035,投資信託を提案。反応は限定的。
H000135,C00058,2024-12-07,電話,NISA,情報提供のみ,E035,NISAを提案。前向きな反応。
H000136,C00058,2024-01-26,オンライン面談,ファンドラップ,検討中,E035,ファンドラップを提案。前向きな反応。
H000137,C00059,2025-12-26,メール,外貨預金,検討中,E034,外貨預金を提案。前向きな反応。
H000138,C00060,2025-07-30,メール,外貨預金,見送り,E021,外貨預金を提案。反応は限定的。
H000139,C00060,2025-03-29,訪問,外国債券,見送り,E021,外国債券を提案。反応は限定的。
H000140,C00060,2025-06-30,メール,外貨預金,情報提供のみ,E021,外貨預金を提案。前向きな反応。
H000141,C00061,2026-07-29,メール,相続コンサル,成約,E066,相続コンサルを提案。前向きな反応。
H000142,C00061,2025-10-22,電話,外貨預金,情報提供のみ,E066,外貨預金を提案。前向きな反応。
H000143,C00061,2025-10-25,オンライン面談,一時払い保険,見送り,E066,一時払い保険を提案。反応は限定的。
H000144,C00062,2026-03-08,電話,ファンドラップ,情報提供のみ,E037,ファンドラップを提案。前向きな反応。
H000145,C00063,2026-03-18,メール,外国債券,見送り,E026,外国債券を提案。反応は限定的。
H000146,C00063,2025-09-30,訪問,投資信託,検討中,E026,投資信託を提案。前向きな反応。
H000147,C00063,2025-08-03,訪問,投資信託,検討中,E026,投資信託を提案。前向きな反応。
H000148,C00063,2025-08-01,オンライン面談,NISA,検討中,E026,NISAを提案。前向きな反応。
H000149,C00063,2025-09-13,メール,外国債券,成約,E026,外国債券を提案。前向きな反応。
H000150,C00064,2025-08-09,来店,投資信託,見送り,E080,投資信託を提案。反応は限定的。
H000151,C00065,2025-07-21,訪問,国内債券,成約,E010,国内債券を提案。前向きな反応。
H000152,C00065,2024-09-02,訪問,投資信託,見送り,E010,投資信託を提案。反応は限定的。
H000153,C00066,2026-06-26,電話,国内債券,情報提供のみ,E051,国内債券を提案。前向きな反応。
H000154,C00066,2026-05-06,メール,ファンドラップ,成約,E051,ファンドラップを提案。前向きな反応。
H000155,C00066,2025-07-10,来店,外国債券,検討中,E051,外国債券を提案。前向きな反応。
H000156,C00066,2026-01-26,メール,ファンドラップ,成約,E051,ファンドラップを提案。前向きな反応。
H000157,C00067,2026-05-19,電話,投資信託,検討中,E041,投資信託を提案。前向きな反応。
H000158,C00067,2025-07-06,訪問,一時払い保険,検討中,E041,一時払い保険を提案。前向きな反応。
H000159,C00067,2026-01-02,来店,外国債券,情報提供のみ,E041,外国債券を提案。前向きな反応。
H000160,C00067,2026-04-07,電話,外国債券,検討中,E041,外国債券を提案。前向きな反応。
H000161,C00067,2025-12-10,オンライン面談,NISA,情報提供のみ,E041,NISAを提案。前向きな反応。
H000162,C00068,2026-01-25,電話,ファンドラップ,情報提供のみ,E065,ファンドラップを提案。前向きな反応。
H000163,C00069,2024-10-17,来店,国内債券,見送り,E042,国内債券を提案。反応は限定的。
H000164,C00069,2024-04-28,電話,外国債券,情報提供のみ,E042,外国債券を提案。前向きな反応。
H000165,C00069,2024-04-23,オンライン面談,外貨預金,見送り,E042,外貨預金を提案。反応は限定的。
H000166,C00070,2026-02-25,来店,相続コンサル,検討中,E031,相続コンサルを提案。前向きな反応。
H000167,C00070,2025-06-18,来店,相続コンサル,再訪問予定,E031,相続コンサルを提案。前向きな反応。
H000168,C00070,2025-12-21,メール,投資信託,情報提供のみ,E031,投資信託を提案。前向きな反応。
H000169,C00070,2025-02-28,オンライン面談,NISA,見送り,E031,NISAを提案。反応は限定的。
H000170,C00071,2025-09-10,来店,投資信託,成約,E074,投資信託を提案。前向きな反応。
H000171,C00072,2026-03-23,オンライン面談,一時払い保険,情報提供のみ,E029,一時払い保険を提案。前向きな反応。
H000172,C00072,2025-02-21,来店,一時払い保険,再訪問予定,E029,一時払い保険を提案。前向きな反応。
H000173,C00072,2025-05-31,来店,投資信託,検討中,E029,投資信託を提案。前向きな反応。
H000174,C00073,2024-10-07,来店,一時払い保険,見送り,E005,一時払い保険を提案。反応は限定的。
H000175,C00074,2025-10-08,訪問,国内債券,成約,E008,国内債券を提案。前向きな反応。
H000176,C00074,2025-05-08,オンライン面談,国内債券,情報提供のみ,E008,国内債券を提案。前向きな反応。
H000177,C00074,2024-11-08,訪問,外国債券,情報提供のみ,E008,外国債券を提案。前向きな反応。
H000178,C00074,2025-04-08,訪問,一時払い保険,情報提供のみ,E008,一時払い保険を提案。前向きな反応。
H000179,C00075,2025-10-31,訪問,外国債券,成約,E003,外国債券を提案。前向きな反応。
H000180,C00075,2025-04-16,来店,投資信託,成約,E003,投資信託を提案。前向きな反応。
H000181,C00075,2025-02-24,オンライン面談,投資信託,見送り,E003,投資信託を提案。反応は限定的。
H000182,C00075,2025-04-11,オンライン面談,ファンドラップ,情報提供のみ,E003,ファンドラップを提案。前向きな反応。
H000183,C00075,2025-01-24,来店,国内債券,見送り,E003,国内債券を提案。反応は限定的。
H000184,C00076,2026-01-05,メール,外貨預金,成約,E048,外貨預金を提案。前向きな反応。
H000185,C00076,2025-01-14,電話,相続コンサル,見送り,E048,相続コンサルを提案。反応は限定的。
H000186,C00076,2025-01-15,電話,一時払い保険,見送り,E048,一時払い保険を提案。反応は限定的。
H000187,C00076,2025-03-20,訪問,外貨預金,見送り,E048,外貨預金を提案。反応は限定的。
H000188,C00076,2025-06-28,電話,投資信託,成約,E048,投資信託を提案。前向きな反応。
H000189,C00077,2025-12-26,メール,外国債券,検討中,E075,外国債券を提案。前向きな反応。
H000190,C00077,2025-12-22,電話,外国債券,見送り,E075,外国債券を提案。反応は限定的。
H000191,C00077,2025-12-21,来店,相続コンサル,成約,E075,相続コンサルを提案。前向きな反応。
H000192,C00078,2026-03-10,訪問,外国債券,情報提供のみ,E044,外国債券を提案。前向きな反応。
H000193,C00078,2025-12-06,訪問,国内債券,検討中,E044,国内債券を提案。前向きな反応。
H000194,C00078,2025-10-31,電話,投資信託,見送り,E044,投資信託を提案。反応は限定的。
H000195,C00079,2025-10-28,電話,一時払い保険,再訪問予定,E077,一時払い保険を提案。前向きな反応。
H000196,C00079,2025-05-24,訪問,国内債券,成約,E077,国内債券を提案。前向きな反応。
H000197,C00079,2024-10-16,来店,投資信託,見送り,E077,投資信託を提案。反応は限定的。
H000198,C00079,2025-03-27,来店,NISA,成約,E077,NISAを提案。前向きな反応。
H000199,C00079,2024-12-06,オンライン面談,ファンドラップ,見送り,E077,ファンドラップを提案。反応は限定的。
H000200,C00080,2026-08-10,電話,国内債券,成約,E055,国内債券を提案。前向きな反応。
H000201,C00081,2026-01-02,電話,外国債券,見送り,E047,外国債券を提案。反応は限定的。
H000202,C00081,2025-12-30,訪問,NISA,情報提供のみ,E047,NISAを提案。前向きな反応。
H000203,C00081,2025-05-14,訪問,相続コンサル,検討中,E047,相続コンサルを提案。前向きな反応。
H000204,C00082,2026-05-14,来店,外国債券,見送り,E072,外国債券を提案。反応は限定的。
H000205,C00082,2025-07-15,メール,外貨預金,成約,E072,外貨預金を提案。前向きな反応。
H000206,C00082,2026-04-21,電話,一時払い保険,検討中,E072,一時払い保険を提案。前向きな反応。
H000207,C00082,2026-02-12,来店,外国債券,検討中,E072,外国債券を提案。前向きな反応。
H000208,C00083,2025-11-24,電話,国内債券,検討中,E074,国内債券を提案。前向きな反応。
H000209,C00083,2025-04-01,来店,外国債券,成約,E074,外国債券を提案。前向きな反応。
H000210,C00084,2025-12-03,来店,NISA,情報提供のみ,E019,NISAを提案。前向きな反応。
H000211,C00084,2025-08-10,オンライン面談,投資信託,検討中,E019,投資信託を提案。前向きな反応。
H000212,C00085,2025-08-24,電話,国内債券,見送り,E080,国内債券を提案。反応は限定的。
H000213,C00085,2024-10-17,電話,国内債券,検討中,E080,国内債券を提案。前向きな反応。
H000214,C00085,2024-11-29,来店,相続コンサル,再訪問予定,E080,相続コンサルを提案。前向きな反応。
H000215,C00086,2026-02-11,オンライン面談,国内債券,検討中,E054,国内債券を提案。前向きな反応。
H000216,C00086,2025-01-12,来店,ファンドラップ,成約,E054,ファンドラップを提案。前向きな反応。
H000217,C00086,2025-08-05,訪問,国内債券,再訪問予定,E054,国内債券を提案。前向きな反応。
H000218,C00086,2025-09-04,オンライン面談,相続コンサル,再訪問予定,E054,相続コンサルを提案。前向きな反応。
H000219,C00086,2025-06-16,電話,国内債券,検討中,E054,国内債券を提案。前向きな反応。
H000220,C00087,2026-07-26,来店,NISA,情報提供のみ,E004,NISAを提案。前向きな反応。
H000221,C00087,2025-11-23,オンライン面談,一時払い保険,成約,E004,一時払い保険を提案。前向きな反応。
H000222,C00087,2026-01-15,オンライン面談,外国債券,見送り,E004,外国債券を提案。反応は限定的。
H000223,C00087,2025-10-02,メール,外国債券,再訪問予定,E004,外国債券を提案。前向きな反応。
H000224,C00088,2026-03-01,訪問,投資信託,見送り,E019,投資信託を提案。反応は限定的。
H000225,C00088,2025-06-11,電話,外国債券,再訪問予定,E019,外国債券を提案。前向きな反応。
H000226,C00089,2026-05-26,来店,投資信託,成約,E070,投資信託を提案。前向きな反応。
H000227,C00089,2026-02-06,オンライン面談,外貨預金,見送り,E070,外貨預金を提案。反応は限定的。
H000228,C00089,2025-07-10,電話,外国債券,見送り,E070,外国債券を提案。反応は限定的。
H000229,C00090,2026-07-18,訪問,国内債券,検討中,E029,国内債券を提案。前向きな反応。
H000230,C00091,2025-09-10,電話,外国債券,情報提供のみ,E079,外国債券を提案。前向きな反応。
H000231,C00091,2024-12-16,来店,国内債券,見送り,E079,国内債券を提案。反応は限定的。
H000232,C00092,2025-10-26,オンライン面談,一時払い保険,再訪問予定,E007,一時払い保険を提案。前向きな反応。
H000233,C00092,2024-11-16,電話,投資信託,成約,E007,投資信託を提案。前向きな反応。
H000234,C00093,2026-05-03,来店,外貨預金,情報提供のみ,E047,外貨預金を提案。前向きな反応。
H000235,C00093,2025-05-12,電話,一時払い保険,情報提供のみ,E047,一時払い保険を提案。前向きな反応。
H000236,C00093,2026-02-26,メール,相続コンサル,検討中,E047,相続コンサルを提案。前向きな反応。
H000237,C00093,2026-02-27,来店,一時払い保険,検討中,E047,一時払い保険を提案。前向きな反応。
H000238,C00093,2026-01-24,来店,外国債券,見送り,E047,外国債券を提案。反応は限定的。
H000239,C00094,2026-02-27,来店,ファンドラップ,検討中,E009,ファンドラップを提案。前向きな反応。
H000240,C00094,2025-11-19,来店,投資信託,検討中,E009,投資信託を提案。前向きな反応。
H000241,C00094,2025-04-29,電話,相続コンサル,検討中,E009,相続コンサルを提案。前向きな反応。
H000242,C00095,2026-01-26,オンライン面談,国内債券,見送り,E058,国内債券を提案。反応は限定的。
H000243,C00095,2025-10-04,電話,国内債券,再訪問予定,E058,国内債券を提案。前向きな反応。
H000244,C00096,2026-05-27,オンライン面談,国内債券,検討中,E008,国内債券を提案。前向きな反応。
H000245,C00096,2025-06-10,来店,相続コンサル,検討中,E008,相続コンサルを提案。前向きな反応。
H000246,C00096,2025-07-20,来店,外国債券,見送り,E008,外国債券を提案。反応は限定的。
H000247,C00096,2025-08-29,電話,国内債券,情報提供のみ,E008,国内債券を提案。前向きな反応。
H000248,C00096,2026-05-13,訪問,一時払い保険,情報提供のみ,E008,一時払い保険を提案。前向きな反応。
H000249,C00097,2025-04-28,訪問,国内債券,見送り,E068,国内債券を提案。反応は限定的。
H000250,C00097,2024-10-10,電話,外国債券,見送り,E068,外国債券を提案。反応は限定的。
H000251,C00097,2025-01-15,来店,ファンドラップ,見送り,E068,ファンドラップを提案。反応は限定的。
H000252,C00098,2026-07-20,訪問,ファンドラップ,見送り,E069,ファンドラップを提案。反応は限定的。
H000253,C00098,2026-01-13,メール,ファンドラップ,検討中,E069,ファンドラップを提案。前向きな反応。
H000254,C00098,2025-06-30,来店,ファンドラップ,成約,E069,ファンドラップを提案。前向きな反応。
H000255,C00098,2025-12-31,電話,国内債券,見送り,E069,国内債券を提案。反応は限定的。
H000256,C00099,2025-07-29,訪問,投資信託,見送り,E011,投資信託を提案。反応は限定的。
H000257,C00099,2025-03-05,訪問,外貨預金,見送り,E011,外貨預金を提案。反応は限定的。
H000258,C00100,2026-01-09,メール,一時払い保険,再訪問予定,E066,一時払い保険を提案。前向きな反応。
H000259,C00100,2025-03-06,電話,一時払い保険,見送り,E066,一時払い保険を提案。反応は限定的。
H000260,C00100,2025-07-17,来店,外貨預金,見送り,E066,外貨預金を提案。反応は限定的。
H000261,C00101,2026-05-24,メール,一時払い保険,成約,E014,一時払い保険を提案。前向きな反応。
H000262,C00101,2026-02-27,メール,外国債券,検討中,E014,外国債券を提案。前向きな反応。
H000263,C00101,2026-03-25,来店,外貨預金,情報提供のみ,E014,外貨預金を提案。前向きな反応。
H000264,C00102,2026-04-29,メール,外国債券,情報提供のみ,E070,外国債券を提案。前向きな反応。
H000265,C00102,2025-04-16,訪問,NISA,検討中,E070,NISAを提案。前向きな反応。
H000266,C00103,2026-06-27,オンライン面談,投資信託,見送り,E038,投資信託を提案。反応は限定的。
H000267,C00104,2024-10-02,オンライン面談,国内債券,再訪問予定,E039,国内債券を提案。前向きな反応。
H000268,C00104,2024-03-08,電話,一時払い保険,再訪問予定,E039,一時払い保険を提案。前向きな反応。
H000269,C00105,2026-07-05,オンライン面談,ファンドラップ,検討中,E060,ファンドラップを提案。前向きな反応。
H000270,C00105,2026-03-25,オンライン面談,NISA,再訪問予定,E060,NISAを提案。前向きな反応。
H000271,C00105,2026-04-28,訪問,相続コンサル,情報提供のみ,E060,相続コンサルを提案。前向きな反応。
H000272,C00105,2026-04-01,訪問,投資信託,検討中,E060,投資信託を提案。前向きな反応。
H000273,C00105,2026-03-07,電話,一時払い保険,検討中,E060,一時払い保険を提案。前向きな反応。
H000274,C00106,2026-07-31,電話,国内債券,成約,E060,国内債券を提案。前向きな反応。
H000275,C00107,2025-09-09,オンライン面談,相続コンサル,検討中,E007,相続コンサルを提案。前向きな反応。
H000276,C00107,2025-03-02,訪問,NISA,情報提供のみ,E007,NISAを提案。前向きな反応。
H000277,C00108,2025-07-15,オンライン面談,外貨預金,見送り,E046,外貨預金を提案。反応は限定的。
H000278,C00108,2024-11-25,メール,外貨預金,再訪問予定,E046,外貨預金を提案。前向きな反応。
H000279,C00108,2024-08-24,訪問,一時払い保険,見送り,E046,一時払い保険を提案。反応は限定的。
H000280,C00109,2026-01-06,訪問,相続コンサル,情報提供のみ,E009,相続コンサルを提案。前向きな反応。
H000281,C00110,2026-01-28,メール,ファンドラップ,情報提供のみ,E015,ファンドラップを提案。前向きな反応。
